Single
3648
Scan 0,   
460, 94.0
461, 96.0
462, 93.0
463, 97.0
464, 97.0
465,100.0
466,101.0
467, 91.0
468, 99.0
469, 94.0
470, 99.0
471, 94.0
472, 96.0
473, 91.0
474, 97.0
475,103.0
476, 97.0
477, 93.0
478, 94.0
479, 96.0
480, 97.0
481, 96.0
482, 96.0
483, 96.0
484, 96.0
485, 96.0
486, 97.0
487, 94.0
488, 98.0
489, 96.0
490,101.0
491,100.0
492,100.0
493, 95.0
494, 98.0
495, 98.0
496, 95.0
497, 97.0
498, 96.0
499,101.0
500, 97.0
501, 92.0
502, 99.0
503, 94.0
504, 95.0
505, 97.0
506, 92.0
507,101.0
508, 95.0
509, 99.0
510, 95.0
511, 96.0
512, 96.0
513, 96.0
514, 95.0
515, 94.0
516, 95.0
517, 96.0
518, 93.0
519, 95.0
520, 93.0
521, 96.0
522,100.0
523, 95.0
524, 88.0
525, 99.0
526, 96.0
527, 95.0
528, 99.0
529,101.0
530, 97.0
531, 97.0
532, 94.0
533, 96.0
534, 95.0
535, 94.0
536, 97.0
537, 99.0
538, 98.0
539, 93.0
540, 97.0
541, 99.0
542, 98.0
543, 97.0
544, 97.0
545, 93.0
546, 98.0
547,102.0
548, 92.0
549, 95.0
550, 93.0
551, 90.0
552, 99.0
553, 92.0
554, 97.0
555,100.0
556, 94.0
557, 93.0
558, 98.0
559, 94.0
560, 95.0
561, 94.0
562, 96.0
563, 89.0
564, 93.0
565, 93.0
566, 97.0
567, 98.0
568, 98.0
569, 95.0
570, 95.0
571, 94.0
572, 94.0
573, 95.0
574, 97.0
575, 95.0
576, 99.0
577, 98.0
578, 96.0
579,100.0
580, 99.0
581,100.0
582, 95.0
583, 89.0
584, 96.0
585, 97.0
586, 93.0
587, 94.0
588, 95.0
589, 95.0
590, 96.0
591, 96.0
592, 96.0
593, 97.0
594,101.0
595, 97.0
596, 96.0
597, 95.0
598, 96.0
599, 96.0
600, 94.0
601, 91.0
602, 99.0
603, 96.0
604,100.0
605, 92.0
606, 95.0
607, 98.0
608, 96.0
609, 95.0
610, 98.0
611, 95.0
612, 97.0
613, 95.0
614, 96.0
615,100.0
616, 98.0
617, 93.0
618, 91.0
619, 97.0
620, 94.0
621, 93.0
622, 94.0
623, 97.0
624, 96.0
625, 97.0
626, 94.0
627,100.0
628, 92.0
629, 98.0
630, 94.0
631, 94.0
632, 97.0
633, 94.0
634, 96.0
635, 96.0
636, 94.0
637,100.0
638, 98.0
639, 96.0
640, 95.0
641, 96.0
642, 95.0
643, 99.0
644, 94.0
645, 93.0
646, 98.0
647, 94.0
648, 95.0
649, 95.0
650, 90.0
651, 98.0
652, 92.0
653, 95.0
654, 94.0
655, 97.0
656, 95.0
657, 95.0
658,100.0
659, 96.0
660, 96.0
661, 96.0
662, 95.0
663, 96.0
664, 93.0
665, 97.0
666, 96.0
667, 95.0
668, 96.0
669, 94.0
670, 94.0
671, 96.0
672, 95.0
673, 94.0
674, 92.0
675, 96.0
676, 94.0
677, 97.0
678, 93.0
679,102.0
680,101.0
681, 93.0
682, 94.0
683, 93.0
684, 93.0
685, 95.0
686, 91.0
687, 96.0
688, 98.0
689, 93.0
690, 99.0
691, 98.0
692, 94.0
693, 91.0
694, 98.0
695, 96.0
696, 93.0
697, 94.0
698, 96.0
699, 97.0
700, 97.0
701, 97.0
702, 93.0
703, 95.0
704, 99.0
705,100.0
706, 95.0
707, 94.0
708, 95.0
709, 95.0
710, 98.0
711, 99.0
712, 96.0
713, 97.0
714, 94.0
715, 91.0
716, 95.0
717, 99.0
718, 97.0
719, 97.0
720,100.0
721, 95.0
722,100.0
723, 94.0
724, 98.0
725, 99.0
726, 93.0
727, 93.0
728, 98.0
729, 97.0
730, 97.0
731, 99.0
732, 94.0
733, 95.0
734, 97.0
735, 97.0
736, 95.0
737, 98.0
738, 97.0
739, 97.0
740, 96.0
741, 94.0
742, 95.0
743, 96.0
744, 98.0
745, 95.0
746, 99.0
747, 94.0
748, 96.0
749, 97.0
750,102.0
751, 96.0
752, 91.0
753, 96.0
754, 94.0
755, 95.0
756, 94.0
757, 93.0
758, 94.0
759, 91.0
760, 94.0
761, 99.0
762, 93.0
763, 96.0
764,102.0
765, 93.0
766, 91.0
767, 99.0
768, 91.0
769, 95.0
770, 96.0
771, 96.0
772, 95.0
773, 98.0
774, 95.0
775, 95.0
776, 97.0
777, 96.0
778, 94.0
779, 97.0
780, 96.0
781, 97.0
782, 99.0
783, 93.0
784, 99.0
785, 97.0
786, 96.0
787, 94.0
788,100.0
789, 99.0
790, 98.0
791, 97.0
792, 96.0
793, 98.0
794, 94.0
795, 91.0
796, 97.0
797,100.0
798, 92.0
799, 96.0
800, 96.0
801, 96.0
802, 93.0
803, 98.0
804, 89.0
805, 98.0
806, 92.0
807, 97.0
808, 99.0
809,100.0
810, 95.0
811, 99.0
812, 98.0
813,100.0
814, 96.0
815, 95.0
816, 99.0
817, 98.0
818, 91.0
819, 95.0
820, 95.0
821, 96.0
822,102.0
823, 95.0
824, 98.0
825, 95.0
826, 98.0
827, 95.0
828, 96.0
829, 99.0
830, 95.0
831, 99.0
832, 95.0
833, 98.0
834, 92.0
835, 96.0
836, 99.0
837, 95.0
838, 98.0
839, 99.0
840, 97.0
841, 96.0
842, 92.0
843, 98.0
844, 96.0
845, 96.0
846, 97.0
847, 93.0
848, 96.0
849, 91.0
850, 93.0
851, 98.0
852, 92.0
