Single
3648
Scan 0,   
0, 95.0
1, 95.0
2, 91.0
3, 90.0
4, 90.0
5, 94.0
6, 93.0
7, 92.0
8, 89.0
9, 91.0
10, 93.0
11, 93.0
12, 92.0
13, 92.0
14, 85.0
15, 91.0
16, 93.0
17, 93.0
18, 87.0
19, 90.0
20, 92.0
21, 94.0
22, 92.0
23, 92.0
24, 94.0
25, 89.0
26, 90.0
27, 90.0
28, 92.0
29, 86.0
30, 92.0
31, 91.0
32, 91.0
33, 88.0
34, 92.0
35, 92.0
36, 91.0
37, 91.0
38, 93.0
39, 89.0
40, 90.0
41, 92.0
42, 94.0
43, 93.0
44, 94.0
45, 94.0
46, 95.0
47, 89.0
48, 92.0
49, 92.0
50, 90.0
51, 93.0
52, 89.0
53, 92.0
54, 87.0
55, 91.0
56, 92.0
57, 90.0
58, 90.0
59, 92.0
60, 91.0
61, 93.0
62, 90.0
63, 91.0
64, 94.0
65, 93.0
66, 87.0
67, 95.0
68, 94.0
69, 90.0
70, 93.0
71, 94.0
72, 91.0
73, 95.0
74, 88.0
75, 91.0
76, 91.0
77, 88.0
78, 94.0
79, 90.0
80, 93.0
81, 91.0
82, 92.0
83, 90.0
84, 94.0
85, 93.0
86, 91.0
87, 93.0
88, 88.0
89, 91.0
90, 95.0
91, 92.0
92, 85.0
93, 93.0
94, 92.0
95, 91.0
96, 87.0
97, 90.0
98, 92.0
99, 90.0
100, 92.0
101, 91.0
102, 85.0
103, 88.0
104, 92.0
105, 90.0
106, 91.0
107, 93.0
108, 88.0
109, 89.0
110, 83.0
111, 92.0
112, 92.0
113, 91.0
114, 95.0
115, 93.0
116, 88.0
117, 92.0
118, 93.0
119, 91.0
120, 93.0
121, 90.0
122, 93.0
123, 93.0
124, 93.0
125, 89.0
126, 87.0
127, 90.0
128, 90.0
129, 88.0
130, 92.0
131, 88.0
132, 90.0
133, 92.0
134, 93.0
135, 89.0
136, 95.0
137, 96.0
138, 92.0
139, 95.0
140, 93.0
141, 87.0
142, 92.0
143, 89.0
144, 92.0
145, 93.0
146, 88.0
147, 93.0
148, 94.0
149, 89.0
150, 91.0
151, 91.0
152, 91.0
153, 90.0
154, 90.0
155, 89.0
156, 93.0
157, 92.0
158, 94.0
159, 92.0
160, 88.0
161, 90.0
162, 92.0
163, 94.0
164, 93.0
165, 93.0
166, 89.0
167, 88.0
168, 89.0
169, 90.0
170, 93.0
171, 85.0
172, 88.0
173, 92.0
174, 88.0
175, 84.0
176, 88.0
177, 94.0
178, 94.0
179, 89.0
180, 94.0
181, 93.0
182, 91.0
183, 90.0
184, 92.0
185, 92.0
186, 92.0
187, 91.0
188, 89.0
189, 91.0
190, 88.0
191, 94.0
192, 87.0
193, 93.0
194, 94.0
195, 89.0
196, 88.0
197, 92.0
198, 91.0
199, 89.0
200, 93.0
201, 90.0
202, 92.0
