Single
3648
Scan 0,   
455, 91.0
456, 87.0
457, 95.0
458, 92.0
459, 95.0
460, 95.0
461, 93.0
462, 91.0
463, 96.0
464, 93.0
465, 93.0
466, 93.0
467, 90.0
468, 97.0
469, 93.0
470, 96.0
471, 89.0
472, 88.0
473, 94.0
474, 95.0
475, 93.0
476, 93.0
477, 89.0
478, 92.0
479, 89.0
480, 90.0
481, 88.0
482, 96.0
483, 91.0
484, 89.0
485, 92.0
486, 92.0
487, 89.0
488, 96.0
489, 91.0
490, 94.0
491, 92.0
492, 92.0
493, 92.0
494, 94.0
495, 89.0
496, 87.0
497, 93.0
498, 89.0
499, 93.0
500, 90.0
501, 97.0
502, 89.0
503, 97.0
504, 95.0
505, 91.0
506, 88.0
507, 90.0
508, 90.0
509, 93.0
510, 91.0
511, 91.0
512, 90.0
513, 93.0
514, 93.0
515, 94.0
516, 92.0
517, 92.0
518, 92.0
519, 88.0
520, 90.0
521, 90.0
522, 86.0
523, 92.0
524, 93.0
525, 90.0
526, 93.0
527, 92.0
528, 91.0
529, 90.0
530, 89.0
531, 93.0
532, 91.0
533, 94.0
534, 90.0
535, 92.0
536, 92.0
537, 88.0
538, 94.0
539, 88.0
540, 87.0
541, 88.0
542, 87.0
543, 92.0
544, 95.0
545, 91.0
546, 94.0
547, 89.0
548, 92.0
549, 88.0
550, 96.0
551, 89.0
552, 88.0
553, 88.0
554, 94.0
555, 89.0
556, 97.0
557, 95.0
558, 96.0
559, 89.0
560, 92.0
561, 94.0
562, 94.0
563, 93.0
564, 93.0
565, 99.0
566, 95.0
567, 90.0
568, 94.0
569, 93.0
570, 90.0
571, 86.0
572, 94.0
573, 98.0
574, 93.0
575, 90.0
576, 94.0
577, 95.0
578, 94.0
579, 92.0
580, 95.0
581, 95.0
582, 90.0
583, 94.0
584, 91.0
585, 90.0
586, 94.0
587, 95.0
588, 94.0
589, 92.0
590, 95.0
591, 94.0
592, 95.0
593, 93.0
594, 92.0
595, 95.0
596, 94.0
597, 96.0
598, 94.0
599, 95.0
600, 89.0
601, 91.0
602, 94.0
603, 92.0
604, 94.0
605, 90.0
606, 94.0
607, 89.0
608, 91.0
609, 90.0
610, 96.0
611, 92.0
612, 94.0
613, 98.0
614, 91.0
615, 98.0
616, 95.0
617, 92.0
618, 94.0
619, 94.0
620, 92.0
621, 92.0
622, 90.0
623, 93.0
624, 93.0
625, 92.0
626, 90.0
627, 94.0
628, 92.0
629, 92.0
630, 90.0
631, 95.0
632, 89.0
633, 89.0
634, 92.0
635, 93.0
636, 89.0
637, 91.0
638, 93.0
639, 94.0
640, 86.0
641, 93.0
642, 94.0
643, 94.0
644, 94.0
645, 91.0
646, 93.0
647, 90.0
648, 91.0
649, 93.0
650, 91.0
651, 91.0
652, 90.0
653, 92.0
654, 91.0
655, 93.0
656, 92.0
657, 93.0
658, 90.0
659, 93.0
660, 92.0
661, 91.0
662, 92.0
663, 93.0
664, 92.0
665, 95.0
666, 93.0
667, 91.0
668, 95.0
669, 93.0
670, 94.0
671, 92.0
672, 95.0
673, 91.0
674, 91.0
675, 88.0
676, 95.0
677, 96.0
678, 96.0
679, 89.0
680, 94.0
681, 94.0
682, 87.0
683, 90.0
684, 91.0
685, 89.0
686, 92.0
687, 92.0
688, 95.0
689, 89.0
690, 95.0
691, 94.0
692, 89.0
693, 96.0
694, 89.0
695, 92.0
696, 89.0
697, 94.0
698, 92.0
699, 91.0
700, 91.0
701, 96.0
702, 92.0
703, 88.0
704, 93.0
705, 94.0
706, 94.0
707, 94.0
708, 90.0
709, 93.0
710, 92.0
711, 94.0
712, 91.0
713, 96.0
714, 91.0
715, 95.0
716, 89.0
717, 94.0
718, 93.0
719, 91.0
720, 91.0
721, 94.0
722, 93.0
723, 94.0
724, 90.0
725, 95.0
726, 93.0
727, 94.0
728, 93.0
729, 95.0
730, 94.0
731, 97.0
732, 92.0
733, 88.0
734, 91.0
735, 92.0
736, 92.0
737, 86.0
738, 95.0
739, 90.0
740, 91.0
741, 91.0
742, 86.0
743, 94.0
744, 91.0
745, 89.0
746, 87.0
747, 90.0
748, 94.0
749, 94.0
750, 89.0
751, 93.0
752, 91.0
753, 90.0
754, 96.0
755, 94.0
756, 95.0
757, 93.0
758, 88.0
759, 92.0
760, 92.0
761, 89.0
762, 90.0
763, 92.0
764, 94.0
765, 91.0
766, 93.0
767, 89.0
768, 90.0
769, 90.0
770, 89.0
771, 92.0
772, 94.0
773, 90.0
774, 96.0
775, 91.0
776, 94.0
777, 93.0
778, 94.0
779, 92.0
780, 94.0
781, 90.0
782, 88.0
783, 90.0
784, 93.0
785, 94.0
786, 92.0
787, 91.0
788, 92.0
789, 92.0
790, 90.0
791, 92.0
792, 93.0
793, 95.0
794, 90.0
795, 94.0
796, 95.0
797, 96.0
798, 94.0
799, 94.0
800, 91.0
801, 94.0
802, 89.0
803, 95.0
804, 92.0
805, 91.0
806, 91.0
807, 92.0
808, 95.0
809, 94.0
810, 94.0
811, 93.0
812, 94.0
813, 91.0
814, 90.0
815, 92.0
816, 92.0
817, 87.0
818, 89.0
819, 93.0
820, 90.0
821, 92.0
822, 90.0
823, 92.0
824, 90.0
825, 96.0
826, 92.0
827, 92.0
828, 91.0
829, 90.0
830, 93.0
831, 88.0
832, 91.0
833, 94.0
834, 88.0
