Single
3648
Scan 0,   
456, 93.0
457, 97.0
458, 92.0
459, 94.0
460, 96.0
461, 93.0
462, 92.0
463, 88.0
464, 95.0
465, 95.0
466, 98.0
467, 88.0
468, 97.0
469, 88.0
470, 96.0
471,100.0
472, 95.0
473, 95.0
474, 96.0
475, 92.0
476, 95.0
477, 94.0
478, 91.0
479, 98.0
480, 97.0
481, 99.0
482, 91.0
483, 99.0
484, 94.0
485, 96.0
486, 94.0
487, 95.0
488, 94.0
489, 91.0
490, 88.0
491, 95.0
492, 93.0
493, 93.0
494, 94.0
495, 94.0
496, 97.0
497, 93.0
498, 93.0
499, 94.0
500, 92.0
501, 98.0
502, 94.0
503, 91.0
504, 93.0
505, 96.0
506, 93.0
507, 94.0
508, 94.0
509, 90.0
510, 96.0
511, 96.0
512, 94.0
513, 94.0
514, 94.0
515, 93.0
516, 96.0
517, 90.0
518, 89.0
519, 91.0
520, 94.0
521, 90.0
522, 93.0
523, 97.0
524, 96.0
525, 95.0
526, 95.0
527, 95.0
528, 92.0
529, 97.0
530, 95.0
531, 96.0
532, 91.0
533, 97.0
534, 96.0
535, 95.0
536, 96.0
537, 99.0
538, 97.0
539, 90.0
540, 97.0
541, 94.0
542, 98.0
543, 94.0
544, 89.0
545, 91.0
546, 96.0
547, 93.0
548, 96.0
549, 92.0
550, 95.0
551, 90.0
552, 94.0
553, 95.0
554, 91.0
555, 93.0
556, 92.0
557, 93.0
558, 93.0
559, 96.0
560, 92.0
561, 97.0
562, 94.0
563, 94.0
564, 94.0
565, 95.0
566, 93.0
567, 97.0
568, 93.0
569, 94.0
570, 98.0
571, 90.0
572, 90.0
573, 93.0
574, 91.0
575, 97.0
576, 95.0
577, 98.0
578, 90.0
579, 96.0
580, 91.0
581, 94.0
582, 97.0
583, 96.0
584, 95.0
585, 96.0
586, 92.0
587, 96.0
588, 90.0
589, 92.0
590, 92.0
591, 99.0
592, 93.0
593, 93.0
594, 96.0
595, 99.0
596, 95.0
597, 96.0
598, 98.0
599, 92.0
600, 97.0
601, 93.0
602, 89.0
603, 95.0
604, 90.0
605, 96.0
606, 95.0
