#I [A] P [mW]
5 1
5.5 3
6 5
6.5 8
7 11
7.5 16
8 23
8.5 56
9 93
9.5 169
10 296
10.5 448
11 580
11.5 752
12 930
12.5 1091
13 1262
13.5 1436
14 1605
14.5 1785
15 1983
15.5 2129
16 2299
16.5 2479
17 2655
17.5 2828
18 3008
18.5 3160
19 3343
19.5 3497
20 3658
