Single
3648
Scan 0,   
455, 79.0
456, 81.0
457, 80.0
458, 78.0
459, 80.0
460, 82.0
461, 78.0
462, 77.0
463, 81.0
464, 77.0
465, 81.0
466, 77.0
467, 74.0
468, 82.0
469, 80.0
470, 78.0
471, 79.0
472, 81.0
473, 80.0
474, 82.0
475, 76.0
476, 79.0
477, 82.0
478, 79.0
479, 79.0
480, 77.0
481, 78.0
482, 79.0
483, 79.0
484, 82.0
485, 81.0
486, 81.0
487, 81.0
488, 82.0
489, 82.0
490, 81.0
491, 77.0
492, 78.0
493, 76.0
494, 81.0
495, 80.0
496, 85.0
497, 79.0
498, 81.0
499, 77.0
500, 80.0
501, 76.0
502, 80.0
503, 78.0
504, 82.0
505, 79.0
506, 76.0
507, 80.0
508, 84.0
509, 79.0
510, 76.0
511, 82.0
512, 83.0
513, 79.0
514, 83.0
515, 75.0
516, 79.0
517, 77.0
518, 78.0
519, 78.0
520, 82.0
521, 82.0
522, 78.0
523, 78.0
524, 82.0
525, 78.0
526, 80.0
527, 81.0
528, 78.0
529, 79.0
530, 80.0
531, 79.0
532, 83.0
533, 79.0
534, 82.0
535, 79.0
536, 81.0
537, 78.0
538, 78.0
539, 73.0
540, 80.0
541, 81.0
542, 80.0
543, 80.0
544, 77.0
545, 82.0
546, 82.0
547, 81.0
548, 78.0
549, 80.0
550, 78.0
551, 80.0
552, 79.0
553, 82.0
554, 83.0
555, 80.0
556, 75.0
557, 83.0
558, 78.0
559, 77.0
560, 76.0
561, 84.0
562, 76.0
563, 79.0
564, 76.0
565, 81.0
566, 78.0
567, 82.0
568, 77.0
569, 80.0
570, 79.0
571, 80.0
572, 76.0
573, 76.0
574, 77.0
575, 77.0
576, 79.0
577, 81.0
578, 80.0
579, 77.0
580, 78.0
581, 83.0
582, 81.0
583, 81.0
584, 74.0
585, 81.0
586, 78.0
587, 80.0
588, 78.0
589, 76.0
590, 78.0
591, 79.0
592, 77.0
593, 80.0
594, 79.0
595, 83.0
596, 81.0
597, 80.0
598, 80.0
599, 76.0
600, 78.0
